id_ocorrencia;local_ocorrencia;latitude_ocorrencia;longitude_ocorrencia;data_ocorrencia;hora_ocorrencia;presen_agen_segur_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia;qtd_ferido_civil_ocorrencia;qtd_ferido_agen_segur_ocorrencia;estado_id;cidade_id;nome_cidade;cod_ibge_cidade;gentilico_cidade;populacao_cidade;area_cidade;densidade_demo_cidade;nome_estado;uf_estado;cod_ibge_estado;homem_qtd_mortos_oc;homem_qtd_feridos_oc;mulher_qtd_mortos_oc;mulher_qtd_feridos_oc;chacina_oc;chacina_qtd_mortos_oc;chacina_unidades_policiais_oc;ag_seguranca_vitima_oc;ag_seguranca_mortos_status_oc;ag_seguranca_feridos_status_oc;bala_perdida_oc;bala_perdida_qtd_mortos_oc;bala_perdida_qtd_feridos_oc;interior_residencia_oc;interior_residencia_qtd_mortos_oc;interior_residencia_qtd_feridos_oc;imediacao_ensino_oc;imediacao_ensino_qtd_mortos_oc;imediacao_ensino_qtd_feridos_oc;vitima_crianca_oc;vitima_crianca_qtd_mortos_oc;info_adicional_crianca_morta_oc;vitima_crianca_qtd_feridos_oc;info_adicional_crianca_ferida_oc;vitima_adolescente_oc;vitima_adolescente_qtd_mortos_oc;info_adicional_adolescente_morto_oc;vitima_adolescente_qtd_feridos_oc;info_adicional_adolescente_ferido_oc;vitima_idoso_oc;vitima_idoso_qtd_mortos_oc;info_adicional_idoso_morto_oc;vitima_idoso_qtd_feridos_oc;info_adicional_idoso_ferido_oc;informacao_via_oc;descricao_via_interrompida_oc;data_interrupcao_via_oc;data_liberacao_via_oc;outros_recortes;motivo_principal;motivo_complementar
49956;Av. Schultz Wenk - Cordovil, Rio de Janeiro - RJ, 21012-155, Brasil;-22.8220952000;-43.2904238000;01/06/2022;00:38:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
49964;Morro do Estado - Ingá, Niterói - RJ, 24210-080, Brasil;-22.8995330000;-43.1181878000;01/06/2022;08:53:00;0;0;0;0;0;19;3641;Niterói;3303302;niteroiense;487562;13392;3.64;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Disputa;
49965;Av. Pastor Martin Luther King Júnior - Inhauma, Rio de Janeiro - RJ, 20765-630, Brasil;-22.8745095000;-43.2826229000;01/06/2022;09:00:00;1;0;1;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;1;0;0;0;Não;0;;Sim;Fora de serviço;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Sim;1;;0;;Não;;;;;Tentativa/Roubo;Homicidio/Tentativa
49966;Morro do São João, Engenho Novo, Rio de Janeiro - RJ, 20950, Brasil;-22.9078627000;-43.2659281000;01/06/2022;15:49:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
49968;R. Saçu - Quintino Bocaiuva, Rio de Janeiro - RJ, 20740-480, Brasil;-22.8968920000;-43.3229301000;01/06/2022;19:09:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
49969;R. André Rocha - Curicica, Rio de Janeiro - RJ, Brasil;-22.9440586000;-43.3868566000;01/06/2022;17:55:00;1;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;1;Não;0;Nýo identificado;Não;;;Sim;0;1;Não;0;0;Não;0;0;Sim;0;;1;Bala perdida;Não;0;;0;;Não;0;;0;;Não;;;;;Ação policial;
49971;R. José Vicente- Grajau, Rio de Janeiro - RJ, 20540-330, Brasil;-22.9226437000;-43.2569790000;01/06/2022;16:35:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
49972;Largo do Bicão - Vila da Penha, Rio de Janeiro - RJ, 21211-007, Brasil;-22.8391092000;-43.3111591000;01/06/2022;21:20:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
49973;Cantagalo, Niterói - RJ, Brasil;-22.9209343000;-43.0559136000;01/06/2022;15:00:00;1;0;0;0;0;19;3641;Niterói;3303302;niteroiense;487562;13392;3.64;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;Nýo identificado;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Ação policial;
49974;Estrada do Galeão - Galeão, Rio de Janeiro - RJ, Brasil;-22.8185377000;-43.2252866000;02/06/2022;06:00:00;1;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;Nýo identificado;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;Perseguição;Tentativa/Roubo;Ação policial
49975;Vila Kennedy, Bangu, Rio de Janeiro - RJ, 21850-007, Brasil;-22.8603609000;-43.4886679000;02/06/2022;06:12:00;1;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;1;0;0;Não;0;PM;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Operação policial;
49976;Jóquei Clube, São Gonçalo - RJ, 24742-000, Brasil;-22.8467228000;-42.9983948000;02/06/2022;08:00:00;1;0;0;1;0;19;3666;São Gonçalo;3304904;gonçalense;999728;24771;4.04;Rio de Janeiro;RJ;33;0;1;0;0;Não;0;PM;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Ação policial;
49977;Morro do Adeus, Complexo do Alemão, Rio de Janeiro - RJ, 21061-600, Brasil;-22.8648338000;-43.2617645000;01/06/2022;15:00:00;0;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;0;1;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Outro;
49978;R. João Rodrigues da Cunha, 195 - Olinda, Nilópolis - RJ, 26510-056, Brasil;-22.8195099000;-43.4119721000;02/06/2022;13:08:00;0;0;0;0;0;19;3640;Nilópolis;3303203;nilopolitano;157425;1939;8.12;Rio de Janeiro;RJ;33;0;0;0;0;Não;0;;Não;;;Não;0;0;Não;0;0;Não;0;0;Não;0;;0;;Não;0;;0;;Não;0;;0;;Não;;;;;Não identificado;
