day,estado,vitimas,id_ocorrencia,populacao_cidade,id_ocorrencia_7d,user,replies,weekend,intervention,treatment,intervention_treatment
2023-03-01,BA,6,3,972875,2.14,FogoCruzadoBA,3,0,0,0,0
2023-03-01,RJ,14,5,1747148,3.43,FogoCruzadoRJ,24,0,0,1,0
2023-03-02,BA,2,2,1419552,2.0,FogoCruzadoBA,4,0,0,0,0
2023-03-02,RJ,17,6,1469213,3.71,FogoCruzadoRJ,13,0,0,1,0
2023-03-03,BA,18,1,2675656,2.0,FogoCruzadoBA,3,0,0,0,0
2023-03-03,RJ,2,2,3660087,3.43,FogoCruzadoRJ,15,0,0,1,0
2023-03-04,BA,7,4,719822,2.14,FogoCruzadoBA,0,1,0,0,0
2023-03-04,RJ,7,3,2309246,3.43,FogoCruzadoRJ,7,1,0,1,0
2023-03-05,BA,4,1,2675656,2.14,FogoCruzadoBA,4,1,0,0,0
2023-03-05,RJ,4,2,3587747,3.29,FogoCruzadoRJ,25,1,0,1,0
2023-03-06,BA,9,3,932999,2.29,FogoCruzadoBA,1,0,0,0,0
2023-03-06,RJ,8,5,1891808,3.71,FogoCruzadoRJ,23,0,0,1,0
2023-03-07,BA,8,3,931234,2.43,FogoCruzadoBA,2,0,0,0,0
2023-03-07,RJ,6,4,1970266,3.86,FogoCruzadoRJ,23,0,0,1,0
2023-03-08,RJ,10,4,1848535,3.71,FogoCruzadoRJ,42,0,0,1,0
2023-03-09,BA,5,1,2675656,2.14,FogoCruzadoBA,0,0,0,0,0
2023-03-09,RJ,9,5,1640211,3.57,FogoCruzadoRJ,19,0,0,1,0
2023-03-10,BA,2,2,1357919,2.14,FogoCruzadoBA,13,0,0,0,0
2023-03-10,RJ,11,6,1496047,4.14,FogoCruzadoRJ,17,0,0,1,0
2023-03-11,BA,4,3,946368,2.43,FogoCruzadoBA,0,1,0,0,0
2023-03-11,RJ,3,3,2464500,4.14,FogoCruzadoRJ,15,1,0,1,0
2023-03-12,BA,6,3,972875,2.29,FogoCruzadoBA,6,1,0,0,0
2023-03-12,RJ,5,2,3587747,4.14,FogoCruzadoRJ,37,1,0,1,0
2023-03-13,BA,1,1,2675656,2.29,FogoCruzadoBA,6,0,0,0,0
2023-03-13,RJ,8,3,2592949,3.86,FogoCruzadoRJ,16,0,0,1,0
2023-03-14,BA,1,2,1337828,2.14,FogoCruzadoBA,8,0,0,0,0
2023-03-14,RJ,4,3,2657250,3.71,FogoCruzadoRJ,13,0,0,1,0
2023-03-15,BA,1,2,1337828,2.0,FogoCruzadoBA,12,0,0,0,0
